,Manufacturer,Model,Subtitle(kWh),Acceleration(sec),TopSpeed (km/h),Range(km),Efficiency(Wh/km),FastChargeSpeed(km/h),Drive,NumberofSeats,Price(€),Price(£),Rating,Pricein$
0,Opel,Ampera-e ,58.0,7.3,150,335,173,210,Front Wheel Drive,5,42990,0,2289.0,46859.100000000006
1,Renault,Kangoo Maxi ZE 33,31.0,22.4,130,160,194,0,Front Wheel Drive,5,0,31680,1577.0,0.0
2,Nissan,Leaf ,36.0,7.9,144,220,164,230,Front Wheel Drive,5,29990,25995,1918.0,32689.100000000002
3,Audi,e-tron Sportback 55 quattro,86.5,5.7,200,375,231,600,All Wheel Drive,5,0,79900,3275.5,0.0
4,Porsche,Taycan Turbo S,83.7,2.8,260,390,215,860,All Wheel Drive,4,186336,138830,3743.5,203106.24000000002
5,Nissan,e-NV200 Evalia ,36.0,14.0,123,165,218,170,Front Wheel Drive,7,43433,30255,1826.0,47341.97
6,Volkswagen,ID.3 Pure Performance,45.0,8.9,160,275,164,260,Rear Wheel Drive,5,31960,27120,2167.0,34836.4
7,BMW,iX3 ,74.0,6.8,180,385,192,520,Rear Wheel Drive,5,66300,58850,2956.0,72267.0
8,Nissan,Leaf e+,56.0,7.3,157,325,172,390,Front Wheel Drive,5,38350,30445,2464.0,41801.5
9,BMW,i3 120 Ah,37.9,7.3,150,235,161,270,Rear Wheel Drive,4,39000,31305,2012.5,42510.0
10,Mercedes,EQA 250,66.5,8.9,160,355,187,420,Front Wheel Drive,5,47541,43495,2663.5,51819.69
11,DS,3 Crossback E-Tense,45.0,8.7,150,250,180,330,Front Wheel Drive,5,30040,31500,2195.0,32743.600000000002
12,BMW,i3s 120 Ah,37.9,6.9,160,230,165,260,Rear Wheel Drive,4,42600,32305,2044.5,46434.0
13,Sono,Sion ,47.0,9.0,140,260,181,310,Front Wheel Drive,5,25500,0,2168.0,27795.000000000004
14,Audi,e-tron GT RS,85.0,3.3,250,405,210,810,All Wheel Drive,4,138200,110950,3675.0,150638.0
15,Kia,e-Soul 64 kWh,64.0,7.9,167,370,173,350,Front Wheel Drive,5,0,37545,2597.0,0.0
16,Renault,Zoe ZE50 R110,52.0,11.4,135,315,165,230,Front Wheel Drive,5,31990,26795,2155.0,34869.100000000006
17,Hyundai,IONIQ Electric,38.3,9.7,165,250,153,220,Front Wheel Drive,5,35350,30550,2030.5,38531.5
18,Lightyear,One ,60.0,10.0,150,575,104,540,All Wheel Drive,5,149000,0,2902.0,162410.0
19,Tesla,Roadster ,200.0,2.1,410,970,206,920,All Wheel Drive,4,215000,189000,6118.0,234350.00000000003
20,Peugeot,e-208 ,45.0,8.1,150,275,164,370,Front Wheel Drive,5,30450,27225,2237.0,33190.5
21,Honda,e ,28.5,9.0,145,170,168,190,Rear Wheel Drive,4,33850,27660,1756.5,36896.5
22,CUPRA,Born 110 kW - 55 kWh,45.0,8.9,160,275,164,440,Rear Wheel Drive,5,32700,28500,2347.0,35643.0
23,Audi,Q4 e-tron 35,51.5,9.0,160,280,184,390,Rear Wheel Drive,5,41900,40750,2399.5,45671.0
24,Tesla,Model Y Long Range Dual Motor,76.0,5.1,217,450,169,750,All Wheel Drive,7,59965,54000,3405.0,65361.850000000006
25,Tesla,Model Y Performance,76.0,3.7,241,430,177,720,All Wheel Drive,7,66965,60000,3455.0,72991.85
26,Porsche,Taycan 4 Cross Turismo,83.7,5.1,220,405,207,850,All Wheel Drive,4,93635,79340,3579.5,102062.15000000001
27,Skoda,Enyaq iV 50,52.0,11.3,160,295,176,240,Rear Wheel Drive,5,33800,0,2258.0,36842.0
28,Volkswagen,e-Up! ,32.3,11.9,130,205,158,170,Front Wheel Drive,4,0,0,1735.5,0.0
29,SEAT,Mii Electric ,32.3,12.3,130,205,158,170,Front Wheel Drive,4,24650,0,1735.5,26868.500000000004
30,Opel,Corsa-e ,45.0,8.1,150,275,164,370,Front Wheel Drive,5,29000,27140,2237.0,31610.000000000004
31,MG,ZS EV,42.5,8.2,140,220,193,260,Front Wheel Drive,5,31990,25995,2051.5,34869.100000000006
32,Volkswagen,ID.3 Pro,58.0,9.6,160,350,166,440,Rear Wheel Drive,5,34995,28420,2568.0,38144.55
33,Volkswagen,ID.3 Pro S,77.0,7.9,160,450,171,550,Rear Wheel Drive,4,41995,38800,2988.0,45774.55
34,Hyundai,Kona Electric 64 kWh,64.0,7.9,167,395,162,370,Front Wheel Drive,5,41850,0,2634.0,45616.5
35,Renault,Zoe ZE50 R135,52.0,9.5,140,310,168,230,Front Wheel Drive,5,33990,28795,2174.0,37049.100000000006
36,Peugeot,e-2008 SUV ,45.0,8.5,150,250,180,330,Front Wheel Drive,5,35450,30730,2195.0,38640.5
37,Audi,e-tron 50 quattro,64.7,6.8,190,280,231,470,All Wheel Drive,5,69100,60600,2806.5,75319.0
38,Porsche,Taycan Turbo,83.7,3.2,260,400,209,840,All Wheel Drive,4,153016,115860,3725.5,166787.44
39,Smart,EQ fortwo coupe,16.7,11.6,130,100,167,0,Rear Wheel Drive,2,18460,19200,1304.5,20121.4
40,Smart,EQ fortwo cabrio,16.7,11.9,130,95,176,0,Rear Wheel Drive,2,21720,21620,1321.5,23674.800000000003
41,Smart,EQ forfour ,16.7,12.7,130,95,176,0,Rear Wheel Drive,4,19120,19795,1321.5,20840.800000000003
42,Honda,e Advance,28.5,8.3,145,170,168,190,Rear Wheel Drive,4,38000,30160,1756.5,41420.0
43,Byton,M-Byte 72 kWh 2WD,72.0,7.5,190,325,222,420,Rear Wheel Drive,5,53500,50000,2856.0,58315.00000000001
44,Byton,M-Byte 95 kWh 4WD,95.0,5.5,190,390,244,460,All Wheel Drive,5,64000,60000,3207.0,69760.0
45,Renault,Zoe ZE40 R110,41.0,11.4,135,255,161,230,Front Wheel Drive,5,29990,0,1968.0,32689.100000000002
46,Porsche,Taycan 4S,71.0,4.0,250,375,189,750,All Wheel Drive,4,106487,83580,3422.0,116070.83
47,Porsche,Taycan 4S Plus,83.7,4.0,250,435,192,910,All Wheel Drive,4,113008,88193,3774.5,123178.72000000002
48,Hyundai,Kona Electric 39 kWh,39.2,9.9,155,250,157,210,Front Wheel Drive,5,34850,0,1997.0,37986.5
49,Mercedes,EQV 300 Long,90.0,12.1,160,320,281,280,Front Wheel Drive,7,71388,70665,2853.0,77812.92000000001
50,Mazda,MX-30 ,30.0,9.7,140,170,176,180,Front Wheel Drive,5,34490,26045,1758.0,37594.100000000006
51,Ford,Mustang Mach-E SR RWD,68.0,6.9,180,345,197,380,Rear Wheel Drive,5,46900,41330,2721.0,51121.00000000001
52,Ford,Mustang Mach-E ER RWD,88.0,7.0,180,440,200,430,Rear Wheel Drive,5,54475,49980,3070.0,59377.75000000001
53,Ford,Mustang Mach-E SR AWD,68.0,6.3,180,330,206,360,All Wheel Drive,5,54000,46650,2698.0,58860.00000000001
54,Ford,Mustang Mach-E ER AWD,88.0,5.8,180,420,210,410,All Wheel Drive,5,62900,57030,3040.0,68561.0
55,Ford,Mustang Mach-E GT,88.0,4.4,200,410,215,400,All Wheel Drive,5,0,67225,3105.0,0.0
56,Audi,e-tron Sportback 50 quattro,64.7,6.8,190,295,219,490,All Wheel Drive,5,71350,69100,2820.5,77771.5
57,Tesla,Cybertruck Single Motor,100.0,7.0,180,390,256,740,Rear Wheel Drive,7,45000,39000,3508.0,49050.0
58,Tesla,Cybertruck Dual Motor,120.0,5.0,190,460,261,710,All Wheel Drive,7,55000,48000,3773.0,59950.00000000001
59,Tesla,Cybertruck Tri Motor,200.0,3.0,210,750,267,710,All Wheel Drive,7,75000,68000,4851.0,81750.0
60,Lexus,UX 300e,50.0,7.5,160,260,192,150,Front Wheel Drive,5,47550,43900,2136.0,51829.50000000001
61,BMW,i4 eDrive40,80.7,5.7,190,475,170,660,Rear Wheel Drive,5,58300,51905,3283.5,63547.00000000001
62,Audi,e-tron 55 quattro,86.5,5.7,200,365,237,590,All Wheel Drive,5,0,71500,3263.5,0.0
63,Aiways,U5 ,63.0,7.5,150,335,188,350,Front Wheel Drive,5,35993,0,2499.0,39232.37
64,Renault,Twingo Electric,21.3,12.6,135,130,164,0,Rear Wheel Drive,4,24790,0,1398.5,27021.100000000002
65,Audi,e-tron S 55 quattro,86.5,4.5,210,320,270,510,All Wheel Drive,5,93800,87000,3232.5,102242.00000000001
66,Audi,e-tron S Sportback 55 quattro,86.5,4.5,210,335,258,540,All Wheel Drive,5,96050,88700,3256.5,104694.50000000001
67,Volkswagen,ID.4 1st,77.0,8.5,160,410,188,500,Rear Wheel Drive,5,0,40800,2909.0,0.0
68,Byton,M-Byte 95 kWh 2WD,95.0,7.5,190,400,238,480,Rear Wheel Drive,5,62000,57500,3229.0,67580.0
69,Fiat,500e Cabrio,37.3,9.0,150,245,152,410,Front Wheel Drive,4,30560,26645,2142.5,33310.4
70,Opel,Mokka-e ,45.0,8.5,150,255,176,340,Front Wheel Drive,5,34110,30540,2203.0,37179.9
71,Skoda,Enyaq iV 60,58.0,8.7,160,330,176,420,Rear Wheel Drive,5,38850,31995,2538.0,42346.5
72,Skoda,Enyaq iV 80,77.0,8.6,160,420,183,510,Rear Wheel Drive,5,43950,39350,2924.0,47905.5
73,Skoda,Enyaq iV 80X,77.0,6.9,160,405,190,500,All Wheel Drive,5,47000,42000,2905.0,51230.00000000001
74,Skoda,Enyaq iV RS,77.0,6.2,180,395,195,480,All Wheel Drive,5,50000,45000,2960.0,54500.00000000001
75,Fiat,500e Hatchback 42 kWh,37.3,9.0,150,250,149,420,Front Wheel Drive,4,27560,23995,2153.5,30040.4
76,Citroen,e-C4 ,45.0,9.7,150,250,180,330,Front Wheel Drive,5,34640,30895,2195.0,37757.600000000006
77,Jaguar,I-Pace EV400,84.7,4.8,200,365,232,340,All Wheel Drive,5,77300,65195,2989.5,84257.0
78,Kia,e-Soul 64 kWh,64.0,7.9,167,370,173,350,Front Wheel Drive,5,37790,0,2597.0,41191.100000000006
79,Kia,e-Soul 39 kWh,39.2,9.9,157,230,170,220,Front Wheel Drive,5,33990,0,2014.0,37049.100000000006
80,Audi,Q4 Sportback e-tron 35,51.5,9.0,160,295,175,410,Rear Wheel Drive,5,43900,42250,2422.5,47851.0
81,Nissan,Ariya 63kWh,63.0,7.5,160,335,188,450,Front Wheel Drive,5,45000,40000,2639.0,49050.0
82,Nissan,Ariya 87kWh,87.0,7.6,160,445,196,530,Front Wheel Drive,5,50000,45000,3083.0,54500.00000000001
83,Nissan,Ariya e-4ORCE 63kWh,63.0,5.9,200,325,194,440,All Wheel Drive,5,50000,45000,2787.0,54500.00000000001
84,Nissan,Ariya e-4ORCE 87kWh,87.0,5.7,200,420,207,500,All Wheel Drive,5,57500,52500,3196.0,62675.00000000001
85,Nissan,Ariya e-4ORCE 87kWh Performance,87.0,5.1,200,385,226,460,All Wheel Drive,5,65000,57500,3143.0,70850.0
86,Volkswagen,ID.3 Pro Performance,58.0,7.3,160,350,166,440,Rear Wheel Drive,5,36495,29740,2568.0,39779.55
87,MG,MG5 EV,48.8,7.7,185,295,165,340,Front Wheel Drive,5,0,25095,2409.0,0.0
